CHAMP1,NR0B1
DACH1,BPTF
DRAP1,PURA
GATAD1,TOPORS
GATAD2A,NFE4
HHEX,ADNP
HMG20A,CHAMP1
HMG20B,DACH1
HMGXB4,DRAP1
IKZF5,GATAD1
INSM2,GATAD2A
KAT7,HHEX
KMT2B,HMG20A
MBD1,HMG20B
MXD3,HMGXB4
MXD4,IKZF5
NCOA1,INSM2
NCOA3,KAT7
NFXL1,KMT2B
PHF20,MBD1
PRDM10,MXD3
SKI,MXD4
ZBED5,NCOA1
ZBTB10,NCOA3
ZBTB21,NFXL1
ZBTB25,PHF20
ZBTB40,PRDM10
ZBTB8A,SKI
ZFP37,ZBED5
ZFP91,ZBTB10
ZGPAT,ZBTB21
ZKSCAN8,ZBTB25
ZNF239,ZBTB40
ZNF362,ZBTB8A
ZNF366,ZFP37
ZNF407,ZFP91
ZNF426,ZGPAT
ZNF48,ZKSCAN8
ZNF507,ZNF239
ZNF511,ZNF362
ZNF512,ZNF366
ZNF518A,ZNF407
ZNF577,ZNF426
ZNF579,ZNF48
ZNF585B,ZNF507
ZNF592,ZNF511
ZNF600,ZNF512
ZNF629,ZNF518A
ZNF639,ZNF577
ZNF644,ZNF579
ZNF652,ZNF585B
ZNF654,ZNF592
ZNF664,ZNF600
ZNF697,ZNF629
ZNF781,ZNF639
ZNF83,ZNF644
ZNF843,ZNF652
ZSCAN21,ZNF654
ZXDB,ZNF664
AFF4,ZNF697
ASCC1,ZNF781
BAD,ZNF83
CBFA2T2,ZNF843
CBFB,ZSCAN21
ZNF830,ZXDB
CNOT6,AFF4
NELFB,ASCC1
DDX20,BAD
ENO1,CBFA2T2
FEZF2,CBFB
FHL2,ZNF830
FOXP4,CNOT6
GTF2H3,NELFB
GTF3C2,DDX20
GTF3C5,ENO1
HCFC2,FEZF2
HCLS1,FHL2
HDAC8,FOXP4
UBE2K,GTF2H3
HTATIP2,GTF3C2
ID2,GTF3C5
KDM5A,HCFC2
LARP1,HCLS1
CERS4,HDAC8
MAGED4,UBE2K
MAGEF1,HTATIP2
MYEF2,ID2
NCALD,KDM5A
NME1,LARP1
NMRAL1,CERS4
NUCB1,MAGED4
OTUD4,MAGEF1
PAXIP1,MYEF2
PDCD11,NCALD
PDLIM5,NME1
PHTF1,NMRAL1
PIR,NUCB1
PLAGL1,OTUD4
PQBP1,PAXIP1
PURG,PDCD11
RAB18,PDLIM5
RAN,PHTF1
RBBP5,PIR
RBFOX2,PLAGL1
RFXANK,PQBP1
SCAND2P,PURG
SCMH1,RAB18
SEMA4A,RAN
SF1,RBBP5
SMAD2,RBFOX2
SNAPC4,RFXANK
SNAPC5,SCAND2P
SND1,SCMH1
SSBP3,SEMA4A
SSX2,SF1
SSX3,SMAD2
TAF1A,SNAPC4
TAF9,SNAPC5
TBPL1,SND1
TCEAL2,SSBP3
TFAM,SSX2
THAP5,SSX3
MED30,TAF1A
TIMELESS,TAF9
TRMT1,TBPL1
TSC22D4,TCEAL2
TSNAX,TFAM
TULP1,THAP5
VPS4B,MED30
YEATS4,TIMELESS
ZBTB4,TRMT1
ZBTB46,TSC22D4
ZHX3,TSNAX
ZNF131,TULP1
